Date,Temperature_C,WindSpeed_kmh
2026-05-07T11:00,19.9,4.7
2026-05-08T02:30,23.9,5.5
2026-05-08 11:45:00,24.0,6.6
2026-05-08 12:00:00,24.1,7.8
2026-05-09 08:30:00,18.4,9.2
2026-05-10 08:15:00,15.5,4.8
2026-05-11 08:30:00,18.8,3.3
2026-05-12 08:30:00,17.9,0.7
2026-05-13 08:30:00,18.7,0.0
2026-05-14 08:30:00,18.9,4.0
2026-05-15 08:30:00,16.5,2.1
2026-05-16 08:30:00,18.1,2.0
2026-05-17 08:30:00,19.7,5.0
2026-05-18 08:30:00,19.2,1.6
2026-05-19 08:30:00,22.1,4.3
2026-05-20 08:30:00,21.9,1.8
2026-05-21 08:45:00,19.1,1.8
2026-05-22 08:30:00,14.6,6.5
2026-05-23 08:30:00,13.7,6.5
2026-05-24 08:30:00,14.4,4.3
2026-05-25 08:30:00,20.2,2.9
2026-05-26 08:30:00,20.3,1.8
2026-05-27 08:30:00,21.1,4.3
2026-05-28 08:45:00,23.3,6.2
